experience,gender,languageProficiency,age,type,collocation,firstGuess,time
more than three years,female,native speaker,23,camelCase,clear sky,true,307

one to three years,male,second language,22,camelCase,final step,true,1284
one to three years,male,second language,22,camelCase,bright star,true,1045
one to three years,male,second language,22,kebab-case,silent wave,true,1015
one to three years,male,second language,22,camelCase,green field,true,827
one to three years,male,second language,22,kebab-case,fast runner,true,1170
one to three years,male,second language,22,camelCase,blue ocean,true,1035
one to three years,male,second language,22,kebab-case,swift arrow,true,930
one to three years,male,second language,22,camelCase,happy dream,true,489
one to three years,male,second language,22,kebab-case,mighty force,true,736
one to three years,male,second language,22,camelCase,golden crown,true,921
one to three years,male,second language,22,kebab-case,shining star,true,1097
one to three years,male,second language,22,camelCase,silver moon,true,650
one to three years,male,second language,22,kebab-case,broken chain,true,789
one to three years,male,second language,22,camelCase,fiery flame,true,1038
one to three years,male,second language,22,kebab-case,clear sky,true,626
one to three years,male,second language,22,kebab-case,final step,true,622
one to three years,male,second language,22,kebab-case,bright star,true,682
one to three years,male,second language,22,camelCase,silent wave,true,713
one to three years,male,second language,22,kebab-case,green field,true,667
one to three years,male,second language,22,camelCase,fast runner,false,941
one to three years,male,second language,22,kebab-case,blue ocean,true,547
one to three years,male,second language,22,camelCase,swift arrow,true,664
one to three years,male,second language,22,kebab-case,happy dream,true,606
one to three years,male,second language,22,camelCase,mighty force,true,590
one to three years,male,second language,22,kebab-case,golden crown,true,557
one to three years,male,second language,22,camelCase,shining star,false,1180
one to three years,male,second language,22,kebab-case,silver moon,true,655
one to three years,male,second language,22,camelCase,broken chain,true,695
one to three years,male,second language,22,kebab-case,fiery flame,true,1197
one to three years,male,second language,22,camelCase,clear sky,true,332

one to three years,female,foreign language,19,camelCase,final step,true,936
one to three years,female,foreign language,19,camelCase,bright star,false,703
one to three years,female,foreign language,19,kebab-case,silent wave,false,1239
one to three years,female,foreign language,19,camelCase,green field,true,993
one to three years,female,foreign language,19,kebab-case,fast runner,true,525
one to three years,female,foreign language,19,camelCase,blue ocean,true,472
one to three years,female,foreign language,19,kebab-case,swift arrow,true,684
one to three years,female,foreign language,19,camelCase,happy dream,true,660
one to three years,female,foreign language,19,kebab-case,mighty force,true,371
one to three years,female,foreign language,19,camelCase,golden crown,true,756
one to three years,female,foreign language,19,kebab-case,shining star,true,586
one to three years,female,foreign language,19,camelCase,silver moon,true,379
one to three years,female,foreign language,19,kebab-case,broken chain,true,659
one to three years,female,foreign language,19,camelCase,fiery flame,true,702
one to three years,female,foreign language,19,kebab-case,clear sky,true,557
one to three years,female,foreign language,19,kebab-case,final step,true,1540
one to three years,female,foreign language,19,kebab-case,bright star,false,1192
one to three years,female,foreign language,19,camelCase,silent wave,true,664
one to three years,female,foreign language,19,kebab-case,green field,true,626
one to three years,female,foreign language,19,camelCase,fast runner,true,850
one to three years,female,foreign language,19,kebab-case,blue ocean,true,527
one to three years,female,foreign language,19,camelCase,swift arrow,true,546
one to three years,female,foreign language,19,kebab-case,happy dream,true,497
one to three years,female,foreign language,19,camelCase,mighty force,false,1280
one to three years,female,foreign language,19,kebab-case,golden crown,false,1103
one to three years,female,foreign language,19,camelCase,shining star,true,561
one to three years,female,foreign language,19,kebab-case,silver moon,true,468
one to three years,female,foreign language,19,camelCase,broken chain,true,649
one to three years,female,foreign language,19,kebab-case,fiery flame,true,654
one to three years,female,foreign language,19,camelCase,clear sky,true,450

more than three years,male,native speaker,21,camelCase,final step,true,2093
more than three years,male,native speaker,21,camelCase,bright star,true,1253
more than three years,male,native speaker,21,kebab-case,silent wave,true,1729
more than three years,male,native speaker,21,camelCase,green field,true,868
more than three years,male,native speaker,21,kebab-case,fast runner,true,1798
more than three years,male,native speaker,21,camelCase,blue ocean,true,1141
more than three years,male,native speaker,21,kebab-case,swift arrow,true,509
more than three years,male,native speaker,21,camelCase,happy dream,true,428
more than three years,male,native speaker,21,kebab-case,mighty force,true,386
more than three years,male,native speaker,21,camelCase,golden crown,true,594
more than three years,male,native speaker,21,kebab-case,shining star,true,1228
more than three years,male,native speaker,21,camelCase,silver moon,false,994
more than three years,male,native speaker,21,kebab-case,broken chain,true,1007
more than three years,male,native speaker,21,camelCase,fiery flame,true,550
more than three years,male,native speaker,21,kebab-case,clear sky,true,453
more than three years,male,native speaker,21,kebab-case,final step,true,384
more than three years,male,native speaker,21,kebab-case,bright star,true,770
more than three years,male,native speaker,21,camelCase,silent wave,true,315
more than three years,male,native speaker,21,kebab-case,green field,true,714
more than three years,male,native speaker,21,camelCase,fast runner,true,354
more than three years,male,native speaker,21,kebab-case,blue ocean,true,410
more than three years,male,native speaker,21,camelCase,swift arrow,true,513
more than three years,male,native speaker,21,kebab-case,happy dream,true,351
more than three years,male,native speaker,21,camelCase,mighty force,true,553
more than three years,male,native speaker,21,kebab-case,golden crown,true,697
more than three years,male,native speaker,21,camelCase,shining star,true,641
more than three years,male,native speaker,21,kebab-case,silver moon,true,536
more than three years,male,native speaker,21,camelCase,broken chain,true,503
more than three years,male,native speaker,21,kebab-case,fiery flame,true,688
more than three years,male,native speaker,21,camelCase,clear sky,true,496

more than three years,female,second language,22,camelCase,final step,false,2106
more than three years,female,second language,22,camelCase,bright star,true,748
more than three years,female,second language,22,kebab-case,silent wave,true,720
more than three years,female,second language,22,camelCase,green field,true,797
more than three years,female,second language,22,kebab-case,fast runner,false,837
more than three years,female,second language,22,camelCase,blue ocean,true,685
more than three years,female,second language,22,kebab-case,swift arrow,true,798
more than three years,female,second language,22,camelCase,happy dream,true,352
more than three years,female,second language,22,kebab-case,mighty force,true,705
more than three years,female,second language,22,camelCase,golden crown,true,575
more than three years,female,second language,22,kebab-case,shining star,true,457
more than three years,female,second language,22,camelCase,silver moon,false,669
more than three years,female,second language,22,kebab-case,broken chain,true,555
more than three years,female,second language,22,camelCase,fiery flame,true,486
more than three years,female,second language,22,kebab-case,clear sky,true,427
more than three years,female,second language,22,kebab-case,final step,true,277
more than three years,female,second language,22,kebab-case,bright star,true,305
more than three years,female,second language,22,camelCase,silent wave,true,319
more than three years,female,second language,22,kebab-case,green field,true,737
more than three years,female,second language,22,camelCase,fast runner,true,335
more than three years,female,second language,22,kebab-case,blue ocean,true,300
more than three years,female,second language,22,camelCase,swift arrow,true,398
more than three years,female,second language,22,kebab-case,happy dream,true,339
more than three years,female,second language,22,camelCase,mighty force,true,265
more than three years,female,second language,22,kebab-case,golden crown,true,390
more than three years,female,second language,22,camelCase,shining star,true,346
more than three years,female,second language,22,kebab-case,silver moon,true,287
more than three years,female,second language,22,camelCase,broken chain,true,439
more than three years,female,second language,22,kebab-case,fiery flame,true,446
more than three years,female,second language,22,camelCase,clear sky,true,472

more than three years,male,native speaker,25,camelCase,final step,true,3649
more than three years,male,native speaker,25,camelCase,bright star,true,2529
more than three years,male,native speaker,25,kebab-case,silent wave,true,1424
more than three years,male,native speaker,25,camelCase,green field,true,1437
more than three years,male,native speaker,25,kebab-case,fast runner,true,1153
more than three years,male,native speaker,25,camelCase,blue ocean,true,1037
more than three years,male,native speaker,25,kebab-case,swift arrow,true,864
more than three years,male,native speaker,25,camelCase,happy dream,true,738
more than three years,male,native speaker,25,kebab-case,mighty force,true,957
more than three years,male,native speaker,25,camelCase,golden crown,true,1299
more than three years,male,native speaker,25,kebab-case,shining star,true,894
more than three years,male,native speaker,25,camelCase,silver moon,false,1895
more than three years,male,native speaker,25,kebab-case,broken chain,true,1234
more than three years,male,native speaker,25,camelCase,fiery flame,true,3888
more than three years,male,native speaker,25,kebab-case,clear sky,true,676
more than three years,male,native speaker,25,kebab-case,final step,true,566
more than three years,male,native speaker,25,kebab-case,bright star,false,1085
more than three years,male,native speaker,25,camelCase,silent wave,true,1475
more than three years,male,native speaker,25,kebab-case,green field,true,763
more than three years,male,native speaker,25,camelCase,fast runner,true,1154
more than three years,male,native speaker,25,kebab-case,blue ocean,false,1468
more than three years,male,native speaker,25,camelCase,swift arrow,true,1088
more than three years,male,native speaker,25,kebab-case,happy dream,true,694
more than three years,male,native speaker,25,camelCase,mighty force,true,1086
more than three years,male,native speaker,25,kebab-case,golden crown,true,923
more than three years,male,native speaker,25,camelCase,shining star,true,731
more than three years,male,native speaker,25,kebab-case,silver moon,true,709
more than three years,male,native speaker,25,camelCase,broken chain,true,765
more than three years,male,native speaker,25,kebab-case,fiery flame,true,1053
more than three years,male,native speaker,25,camelCase,clear sky,true,761

less than one year,female,native speaker,19,camelCase,final step,true,4878
less than one year,female,native speaker,19,camelCase,bright star,true,2562
less than one year,female,native speaker,19,kebab-case,silent wave,true,849
less than one year,female,native speaker,19,camelCase,green field,true,1305
less than one year,female,native speaker,19,kebab-case,fast runner,true,1770
less than one year,female,native speaker,19,camelCase,blue ocean,true,1430
less than one year,female,native speaker,19,kebab-case,swift arrow,true,787
less than one year,female,native speaker,19,camelCase,happy dream,true,1376
less than one year,female,native speaker,19,kebab-case,mighty force,true,987
less than one year,female,native speaker,19,camelCase,golden crown,true,631
less than one year,female,native speaker,19,kebab-case,shining star,true,643
less than one year,female,native speaker,19,camelCase,silver moon,true,573
less than one year,female,native speaker,19,kebab-case,broken chain,true,558
less than one year,female,native speaker,19,camelCase,fiery flame,true,716
less than one year,female,native speaker,19,kebab-case,clear sky,true,515
less than one year,female,native speaker,19,kebab-case,final step,true,1019
less than one year,female,native speaker,19,kebab-case,bright star,false,1296
less than one year,female,native speaker,19,camelCase,silent wave,true,1153
less than one year,female,native speaker,19,kebab-case,green field,true,1632
less than one year,female,native speaker,19,camelCase,fast runner,true,1339
less than one year,female,native speaker,19,kebab-case,blue ocean,true,1530
less than one year,female,native speaker,19,camelCase,swift arrow,true,582
less than one year,female,native speaker,19,kebab-case,happy dream,true,662
less than one year,female,native speaker,19,camelCase,mighty force,false,832
less than one year,female,native speaker,19,kebab-case,golden crown,true,1154
less than one year,female,native speaker,19,camelCase,shining star,true,1087
less than one year,female,native speaker,19,kebab-case,silver moon,true,717
less than one year,female,native speaker,19,camelCase,broken chain,true,642
less than one year,female,native speaker,19,kebab-case,fiery flame,true,752
less than one year,female,native speaker,19,camelCase,clear sky,true,564

more than three years,male,foreign language,21,camelCase,final step,false,1154
more than three years,male,foreign language,21,camelCase,bright star,false,1459
more than three years,male,foreign language,21,kebab-case,silent wave,true,826
more than three years,male,foreign language,21,camelCase,green field,true,845
more than three years,male,foreign language,21,kebab-case,fast runner,false,816
more than three years,male,foreign language,21,camelCase,blue ocean,true,681
more than three years,male,foreign language,21,kebab-case,swift arrow,true,521
more than three years,male,foreign language,21,camelCase,happy dream,true,392
more than three years,male,foreign language,21,kebab-case,mighty force,true,425
more than three years,male,foreign language,21,camelCase,golden crown,true,792
more than three years,male,foreign language,21,kebab-case,shining star,true,706
more than three years,male,foreign language,21,camelCase,silver moon,false,1002
more than three years,male,foreign language,21,kebab-case,broken chain,false,1222
more than three years,male,foreign language,21,camelCase,fiery flame,false,923
more than three years,male,foreign language,21,kebab-case,clear sky,true,388
more than three years,male,foreign language,21,kebab-case,final step,true,288
more than three years,male,foreign language,21,kebab-case,bright star,false,927
more than three years,male,foreign language,21,camelCase,silent wave,true,417
more than three years,male,foreign language,21,kebab-case,green field,false,806
more than three years,male,foreign language,21,camelCase,fast runner,true,558
more than three years,male,foreign language,21,kebab-case,blue ocean,true,292
more than three years,male,foreign language,21,camelCase,swift arrow,false,796
more than three years,male,foreign language,21,kebab-case,happy dream,true,559
more than three years,male,foreign language,21,camelCase,mighty force,true,368
more than three years,male,foreign language,21,kebab-case,golden crown,true,365
more than three years,male,foreign language,21,camelCase,shining star,true,570
more than three years,male,foreign language,21,kebab-case,silver moon,true,339
more than three years,male,foreign language,21,camelCase,broken chain,true,347
more than three years,male,foreign language,21,kebab-case,fiery flame,true,379
more than three years,male,foreign language,21,camelCase,clear sky,true,313

one to three years,male,foreign language,19,camelCase,final step,false,1154
one to three years,male,foreign language,19,camelCase,bright star,false,1459
one to three years,male,foreign language,19,kebab-case,silent wave,true,826
one to three years,male,foreign language,19,camelCase,green field,true,845
one to three years,male,foreign language,19,kebab-case,fast runner,false,816
one to three years,male,foreign language,19,camelCase,blue ocean,true,681
one to three years,male,foreign language,19,kebab-case,swift arrow,true,521
one to three years,male,foreign language,19,camelCase,happy dream,true,392
one to three years,male,foreign language,19,kebab-case,mighty force,true,425
one to three years,male,foreign language,19,camelCase,golden crown,true,792
one to three years,male,foreign language,19,kebab-case,shining star,true,706
one to three years,male,foreign language,19,camelCase,silver moon,false,1002
one to three years,male,foreign language,19,kebab-case,broken chain,false,1222
one to three years,male,foreign language,19,camelCase,fiery flame,false,923
one to three years,male,foreign language,19,kebab-case,clear sky,true,388
one to three years,male,foreign language,19,kebab-case,final step,true,288
one to three years,male,foreign language,19,kebab-case,bright star,false,927
one to three years,male,foreign language,19,camelCase,silent wave,true,417
one to three years,male,foreign language,19,kebab-case,green field,false,806
one to three years,male,foreign language,19,camelCase,fast runner,true,558
one to three years,male,foreign language,19,kebab-case,blue ocean,true,292
one to three years,male,foreign language,19,camelCase,swift arrow,false,796
one to three years,male,foreign language,19,kebab-case,happy dream,true,559
one to three years,male,foreign language,19,camelCase,mighty force,true,368
one to three years,male,foreign language,19,kebab-case,golden crown,true,365
one to three years,male,foreign language,19,camelCase,shining star,true,570
one to three years,male,foreign language,19,kebab-case,silver moon,true,339
one to three years,male,foreign language,19,camelCase,broken chain,true,347
one to three years,male,foreign language,19,kebab-case,fiery flame,true,379
one to three years,male,foreign language,19,camelCase,clear sky,true,313

more than three years,male,second language,23,camelCase,final step,false,1154
more than three years,male,second language,23,camelCase,bright star,false,1459
more than three years,male,second language,23,kebab-case,silent wave,true,826
more than three years,male,second language,23,camelCase,green field,true,845
more than three years,male,second language,23,kebab-case,fast runner,false,816
more than three years,male,second language,23,camelCase,blue ocean,true,681
more than three years,male,second language,23,kebab-case,swift arrow,true,521
more than three years,male,second language,23,camelCase,happy dream,true,392
more than three years,male,second language,23,kebab-case,mighty force,true,425
more than three years,male,second language,23,camelCase,golden crown,true,792
more than three years,male,second language,23,kebab-case,shining star,true,706
more than three years,male,second language,23,camelCase,silver moon,false,1002
more than three years,male,second language,23,kebab-case,broken chain,false,1222
more than three years,male,second language,23,camelCase,fiery flame,false,923
more than three years,male,second language,23,kebab-case,clear sky,true,388
more than three years,male,second language,23,kebab-case,final step,true,288
more than three years,male,second language,23,kebab-case,bright star,false,927
more than three years,male,second language,23,camelCase,silent wave,true,417
more than three years,male,second language,23,kebab-case,green field,false,806
more than three years,male,second language,23,camelCase,fast runner,true,558
more than three years,male,second language,23,kebab-case,blue ocean,true,292
more than three years,male,second language,23,camelCase,swift arrow,false,796
more than three years,male,second language,23,kebab-case,happy dream,true,559
more than three years,male,second language,23,camelCase,mighty force,true,368
more than three years,male,second language,23,kebab-case,golden crown,true,365
more than three years,male,second language,23,camelCase,shining star,true,570
more than three years,male,second language,23,kebab-case,silver moon,true,339
more than three years,male,second language,23,camelCase,broken chain,true,347
more than three years,male,second language,23,kebab-case,fiery flame,true,379
more than three years,male,second language,23,camelCase,clear sky,true,313

less than one year,female,foreign language,20,camelCase,final step,false,146
less than one year,female,foreign language,20,camelCase,bright star,true,129
less than one year,female,foreign language,20,kebab-case,silent wave,true,115
less than one year,female,foreign language,20,camelCase,green field,true,87
less than one year,female,foreign language,20,kebab-case,fast runner,true,77
less than one year,female,foreign language,20,camelCase,blue ocean,true,50
less than one year,female,foreign language,20,kebab-case,swift arrow,true,122
less than one year,female,foreign language,20,camelCase,happy dream,true,125
less than one year,female,foreign language,20,kebab-case,mighty force,true,132
less than one year,female,foreign language,20,camelCase,golden crown,false,155
less than one year,female,foreign language,20,kebab-case,shining star,true,112
less than one year,female,foreign language,20,camelCase,silver moon,false,183
less than one year,female,foreign language,20,kebab-case,broken chain,true,63
less than one year,female,foreign language,20,camelCase,fiery flame,false,123
less than one year,female,foreign language,20,kebab-case,clear sky,false,129
less than one year,female,foreign language,20,kebab-case,final step,false,116
less than one year,female,foreign language,20,kebab-case,bright star,false,208
less than one year,female,foreign language,20,camelCase,silent wave,true,64
less than one year,female,foreign language,20,kebab-case,green field,false,122
less than one year,female,foreign language,20,camelCase,fast runner,true,115
less than one year,female,foreign language,20,kebab-case,blue ocean,true,96
less than one year,female,foreign language,20,camelCase,swift arrow,true,102
less than one year,female,foreign language,20,kebab-case,happy dream,false,127
less than one year,female,foreign language,20,camelCase,mighty force,true,118
less than one year,female,foreign language,20,kebab-case,golden crown,true,125
less than one year,female,foreign language,20,camelCase,shining star,false,104
less than one year,female,foreign language,20,kebab-case,silver moon,false,144
less than one year,female,foreign language,20,camelCase,broken chain,true,87
less than one year,female,foreign language,20,kebab-case,fiery flame,true,120
less than one year,female,foreign language,20,camelCase,clear sky,true,89

